pde, G, width, depth, pow_basis, pow_res, run, loss, l2
allen-cahn, 5, 2, 1, 0.5, 0.25, 1, 0.14086484909057617, 1.1397041082382202
allen-cahn, 5, 2, 1, 0.5, 0.25, 2, 0.045560322701931, 0.9266809225082397
allen-cahn, 5, 2, 1, 0.5, 0.25, 3, 0.1307612657546997, 1.1298274993896484
allen-cahn, 5, 2, 1, 0.5, 0.5, 1, 0.04764954745769501, 0.9469217658042908
allen-cahn, 5, 2, 1, 0.5, 0.5, 2, 0.03438105061650276, 0.7839487791061401
allen-cahn, 5, 2, 1, 0.5, 0.5, 3, 0.04521603882312775, 0.850688636302948
allen-cahn, 5, 2, 1, 0.5, 0.75, 1, 0.047756969928741455, 0.9440174698829651
allen-cahn, 5, 2, 1, 0.5, 0.75, 2, 0.06267009675502777, 1.0289580821990967
allen-cahn, 5, 2, 1, 0.5, 0.75, 3, 0.04226577654480934, 0.8618782162666321
allen-cahn, 5, 2, 1, 0.5, 1.0, 1, 0.04770195111632347, 0.9294546842575073
allen-cahn, 5, 2, 1, 0.5, 1.0, 2, 0.06286685913801193, 1.0326240062713623
allen-cahn, 5, 2, 1, 0.5, 1.0, 3, 0.04375261813402176, 0.8774427771568298
allen-cahn, 5, 2, 1, 0.5, 1.25, 1, 0.04820113629102707, 0.943729817867279
allen-cahn, 5, 2, 1, 0.5, 1.25, 2, 0.06599763035774231, 0.6449863314628601
allen-cahn, 5, 2, 1, 0.5, 1.25, 3, 0.06297190487384796, 0.9409661293029785
allen-cahn, 5, 2, 1, 0.5, 1.5, 1, 0.04823680222034454, 0.9434309601783752
allen-cahn, 5, 2, 1, 0.5, 1.5, 2, 0.06923366338014603, 0.7282378077507019
allen-cahn, 5, 2, 1, 0.5, 1.5, 3, 0.057871364057064056, 1.0200849771499634
allen-cahn, 5, 2, 1, 0.5, 1.75, 1, 0.048292048275470734, 0.9434747695922852
allen-cahn, 5, 2, 1, 0.5, 1.75, 2, 0.06869550794363022, 0.7240011692047119
allen-cahn, 5, 2, 1, 0.5, 1.75, 3, 0.042199406772851944, 0.830730140209198
allen-cahn, 5, 2, 1, 0.5, 2.0, 1, 0.04831088334321976, 0.9435100555419922
allen-cahn, 5, 2, 1, 0.5, 2.0, 2, 0.06922341883182526, 0.7166135907173157
allen-cahn, 5, 2, 1, 0.5, 2.0, 3, 0.05129004269838333, 0.9291846752166748
allen-cahn, 5, 2, 1, 0.75, 0.0, 1, 0.02689916267991066, 0.71929931640625
allen-cahn, 5, 2, 1, 0.75, 0.0, 2, 0.232828289270401, 0.8719854354858398
allen-cahn, 5, 2, 1, 0.75, 0.0, 3, 0.11434417963027954, 1.047173261642456
allen-cahn, 5, 2, 1, 0.75, 0.25, 1, 0.04153905808925629, 0.6384815573692322
allen-cahn, 5, 2, 1, 0.75, 0.25, 2, 0.02599605917930603, 0.6920170783996582
allen-cahn, 5, 2, 1, 0.75, 0.25, 3, 0.11003048717975616, 1.1255990266799927
allen-cahn, 5, 2, 1, 0.75, 0.5, 1, 0.04020527005195618, 0.7062470316886902
allen-cahn, 5, 2, 1, 0.75, 0.5, 2, 0.0210878886282444, 0.6480095982551575
allen-cahn, 5, 2, 1, 0.75, 0.5, 3, 0.035979483276605606, 0.8361645936965942
allen-cahn, 5, 2, 1, 0.75, 0.75, 1, 0.03687431663274765, 0.6303631663322449
allen-cahn, 5, 2, 1, 0.75, 0.75, 2, 0.01985413208603859, 0.6081580519676208
allen-cahn, 5, 2, 1, 0.75, 0.75, 3, 0.021598663181066513, 0.623378336429596
allen-cahn, 5, 2, 1, 0.75, 1.0, 1, 0.027729522436857224, 0.6926292181015015
allen-cahn, 5, 2, 1, 0.75, 1.0, 2, 0.04533689469099045, 0.908339262008667
allen-cahn, 5, 2, 1, 0.75, 1.0, 3, 0.022085674107074738, 0.6295171976089478
allen-cahn, 5, 2, 1, 0.75, 1.25, 1, 0.04657098650932312, 0.6539744734764099
allen-cahn, 5, 2, 1, 0.75, 1.25, 2, 0.04510810226202011, 0.9070221185684204
allen-cahn, 5, 2, 1, 0.75, 1.25, 3, 0.018381638452410698, 0.6012023091316223
allen-cahn, 5, 2, 1, 0.75, 1.5, 1, 0.04621555283665657, 0.6885645389556885
allen-cahn, 5, 2, 1, 0.75, 1.5, 2, 0.04512132704257965, 0.9077182412147522
allen-cahn, 5, 2, 1, 0.75, 1.5, 3, 0.018242591992020607, 0.5986114740371704
allen-cahn, 5, 2, 1, 0.75, 1.75, 1, 0.02622072957456112, 0.6603475213050842
allen-cahn, 5, 2, 1, 0.75, 1.75, 2, 0.0451262965798378, 0.9074224233627319
allen-cahn, 5, 2, 1, 0.75, 1.75, 3, 0.02579677850008011, 0.675491988658905
allen-cahn, 5, 2, 1, 0.75, 2.0, 1, 0.026349257677793503, 0.6581769585609436
allen-cahn, 5, 2, 1, 0.75, 2.0, 2, 0.04512253403663635, 0.9073095917701721
allen-cahn, 5, 2, 1, 0.75, 2.0, 3, 0.027194654569029808, 0.7058451175689697
allen-cahn, 5, 2, 1, 1.0, 0.0, 1, 0.024677684530615807, 0.635002851486206
allen-cahn, 5, 2, 1, 1.0, 0.0, 2, 0.15396708250045776, 1.1442145109176636
allen-cahn, 5, 2, 1, 1.0, 0.0, 3, 0.6757218837738037, 1.1289448738098145
allen-cahn, 5, 2, 1, 1.0, 0.25, 1, 0.021251214668154716, 0.6570873856544495
allen-cahn, 5, 2, 1, 1.0, 0.25, 2, 0.026865340769290924, 0.6752164959907532
allen-cahn, 5, 2, 1, 1.0, 0.25, 3, 0.03314722329378128, 0.7862125635147095
allen-cahn, 5, 2, 1, 1.0, 0.5, 1, 0.024492021650075912, 0.7040678858757019
allen-cahn, 5, 2, 1, 1.0, 0.5, 2, 0.021998485550284386, 0.639057457447052
allen-cahn, 5, 2, 1, 1.0, 0.5, 3, 0.022549210116267204, 0.6587635278701782
allen-cahn, 5, 2, 1, 1.0, 0.75, 1, 0.02005010098218918, 0.6320922374725342
allen-cahn, 5, 2, 1, 1.0, 0.75, 2, 0.02565755322575569, 0.7238588333129883
allen-cahn, 5, 2, 1, 1.0, 0.75, 3, 0.02350897714495659, 0.6711524724960327
allen-cahn, 5, 2, 1, 1.0, 1.0, 1, 0.02014525979757309, 0.6109480857849121
allen-cahn, 5, 2, 1, 1.0, 1.0, 2, 0.025350844487547874, 0.716792106628418
allen-cahn, 5, 2, 1, 1.0, 1.0, 3, 0.023891514167189598, 0.6759741902351379
allen-cahn, 5, 2, 1, 1.0, 1.25, 1, 0.02044931799173355, 0.614698588848114
allen-cahn, 5, 2, 1, 1.0, 1.25, 2, 0.02486695721745491, 0.7072264552116394
allen-cahn, 5, 2, 1, 1.0, 1.25, 3, 0.023968076333403587, 0.6774889230728149
allen-cahn, 5, 2, 1, 1.0, 1.5, 1, 0.020441915839910507, 0.6159234642982483
allen-cahn, 5, 2, 1, 1.0, 1.5, 2, 0.0247567780315876, 0.7044568657875061
