method,pde,G,width,depth,pow_res,pow_basis,run,loss,l2
lecun_norm,ac,10,16,4,,,5,0.0156183233484625,0.5532169342041016
lecun_norm,ac,10,32,4,,,1,0.0320360213518142,0.832892119884491
lecun_norm,ac,10,32,4,,,2,0.0193947553634643,0.6317363977432251
lecun_norm,ac,10,32,4,,,3,0.0350068807601928,0.8581289052963257
lecun_norm,ac,10,32,4,,,4,0.0449036657810211,0.860155463218689
lecun_norm,ac,10,32,4,,,5,0.0219220072031021,0.7622209787368774
lecun_norm,ac,10,64,4,,,1,0.1660636663436889,1.1383575201034546
lecun_norm,ac,10,64,4,,,2,0.1044607684016227,0.8937644958496094
lecun_norm,ac,10,64,4,,,3,0.0529147610068321,0.8462072014808655
lecun_norm,ac,10,64,4,,,4,0.1354715675115585,0.8462798595428467
lecun_norm,ac,10,64,4,,,5,0.0086988639086484,0.8962436318397522
lecun_norm,ac,20,2,1,,,1,0.5273225903511047,1.0409542322158811
lecun_norm,ac,20,2,1,,,2,0.047528825700283,0.6168020367622375
lecun_norm,ac,20,2,1,,,3,0.7704118490219116,0.9420497417449952
lecun_norm,ac,20,2,1,,,4,0.0126951867714524,0.5252598524093628
lecun_norm,ac,20,2,1,,,5,0.7145057916641235,0.9767189025878906
lecun_norm,ac,20,4,1,,,1,0.0583115741610527,0.8490344285964966
lecun_norm,ac,20,4,1,,,2,0.0146627211943268,0.598251461982727
lecun_norm,ac,20,4,1,,,3,0.0150960851460695,0.5423293113708496
lecun_norm,ac,20,4,1,,,4,0.0175528489053249,0.5947905778884888
lecun_norm,ac,20,4,1,,,5,0.0661318898200988,0.7839267253875732
lecun_norm,ac,20,8,1,,,1,0.0165023822337389,0.5878648161888123
lecun_norm,ac,20,8,1,,,2,0.0159139484167099,0.5731757879257202
lecun_norm,ac,20,8,1,,,3,0.0155353927984833,0.5461528301239014
lecun_norm,ac,20,8,1,,,4,0.0154550485312938,0.5333031415939331
lecun_norm,ac,20,8,1,,,5,0.0148526355624198,0.5101529955863953
lecun_norm,ac,20,16,1,,,1,0.0147330462932586,0.5289942622184753
lecun_norm,ac,20,16,1,,,2,0.0150973154231905,0.5429713726043701
lecun_norm,ac,20,16,1,,,3,0.0128161441534757,0.4708359837532043
lecun_norm,ac,20,16,1,,,4,0.0150760877877473,0.5424351692199707
lecun_norm,ac,20,16,1,,,5,0.0146503616124391,0.5317550301551819
lecun_norm,ac,20,32,1,,,1,0.0163824781775474,0.6302677989006042
lecun_norm,ac,20,32,1,,,2,0.0154497474431991,0.575293242931366
lecun_norm,ac,20,32,1,,,3,0.0140159148722887,0.4736355543136596
lecun_norm,ac,20,32,1,,,4,0.0158235840499401,0.5461204648017883
lecun_norm,ac,20,32,1,,,5,0.0163645837455987,0.6282221674919128
lecun_norm,ac,20,64,1,,,1,0.0168835017830133,0.629740297794342
lecun_norm,ac,20,64,1,,,2,0.042330078780651,0.595609724521637
lecun_norm,ac,20,64,1,,,3,0.0156883411109447,0.5939074754714966
lecun_norm,ac,20,64,1,,,4,0.0168346762657165,0.5727900862693787
lecun_norm,ac,20,64,1,,,5,0.0190019756555557,0.6733898520469666
lecun_norm,ac,20,2,2,,,1,0.0126993907615542,0.6197606325149536
lecun_norm,ac,20,2,2,,,2,0.1730866134166717,0.9864813685417176
lecun_norm,ac,20,2,2,,,3,0.0161090977489948,0.7328118085861206
lecun_norm,ac,20,2,2,,,4,0.0146653885021805,0.5237032175064087
lecun_norm,ac,20,2,2,,,5,0.0145009914413094,0.5225322246551514
lecun_norm,ac,20,4,2,,,1,0.0143143329769372,0.5226432085037231
lecun_norm,ac,20,4,2,,,2,0.0139381289482116,0.4970985949039459
lecun_norm,ac,20,4,2,,,3,0.0140125351026654,0.5182800889015198
lecun_norm,ac,20,4,2,,,4,0.0166985727846622,0.8000109791755676
lecun_norm,ac,20,4,2,,,5,0.0277693569660186,0.8099293112754822
lecun_norm,ac,20,8,2,,,1,0.0126606225967407,0.58085036277771
lecun_norm,ac,20,8,2,,,2,0.0136949848383665,0.5372133851051331
lecun_norm,ac,20,8,2,,,3,0.0117329657077789,0.6201985478401184
lecun_norm,ac,20,8,2,,,4,0.0359763354063034,0.8354620337486267
lecun_norm,ac,20,8,2,,,5,0.0179407149553298,0.8232110738754272
lecun_norm,ac,20,16,2,,,1,0.0108467452228069,0.7843843698501587
lecun_norm,ac,20,16,2,,,2,0.0113658048212528,0.7856215238571167
lecun_norm,ac,20,16,2,,,3,0.0145225469022989,0.596503734588623
lecun_norm,ac,20,16,2,,,4,0.0131263155490159,0.6687509417533875
lecun_norm,ac,20,16,2,,,5,0.0184379145503044,0.7187790870666504
lecun_norm,ac,20,32,2,,,1,0.1594913005828857,0.9465413689613342
lecun_norm,ac,20,32,2,,,2,0.0706284940242767,0.8923876881599426
lecun_norm,ac,20,32,2,,,3,0.1071505844593048,0.8047652244567871
lecun_norm,ac,20,32,2,,,4,0.0962935537099838,0.861899733543396
lecun_norm,ac,20,32,2,,,5,0.0612167455255985,0.9241880774497986
lecun_norm,ac,20,64,2,,,1,0.0862036198377609,0.9256698489189148
lecun_norm,ac,20,64,2,,,2,0.1248281598091125,0.9667831659317015
lecun_norm,ac,20,64,2,,,3,0.0942129865288734,1.0303027629852295
lecun_norm,ac,20,64,2,,,4,0.0968237295746803,1.1291323900222778
lecun_norm,ac,20,64,2,,,5,0.0818433389067649,1.0166317224502563
lecun_norm,ac,20,2,3,,,1,0.3351533114910126,1.2774999141693115
lecun_norm,ac,20,2,3,,,2,0.0066035445779562,0.7032074332237244
lecun_norm,ac,20,2,3,,,3,0.0147559698671102,0.5256271362304688
lecun_norm,ac,20,2,3,,,4,0.014847251586616,0.5304973125457764
lecun_norm,ac,20,2,3,,,5,0.1964454501867294,0.8347702026367188
lecun_norm,ac,20,4,3,,,1,0.0051716128364205,0.587848961353302
lecun_norm,ac,20,4,3,,,2,0.0135138984769582,0.5197323560714722
lecun_norm,ac,20,4,3,,,3,0.1213813349604606,0.7767874598503113
lecun_norm,ac,20,4,3,,,4,0.0089199636131525,0.6762903928756714
lecun_norm,ac,20,4,3,,,5,0.0977092385292053,0.7127736210823059
lecun_norm,ac,20,8,3,,,1,1.2484710216522217,0.9289680123329164
lecun_norm,ac,20,8,3,,,2,0.965029001235962,0.9230642318725586
lecun_norm,ac,20,8,3,,,3,0.114066295325756,0.6297143697738647
lecun_norm,ac,20,8,3,,,4,1.507523775100708,0.9587121605873108
lecun_norm,ac,20,8,3,,,5,0.5447156429290771,0.9458023905754088
lecun_norm,ac,20,16,3,,,1,1.2893013954162598,1.2043068408966064
lecun_norm,ac,20,16,3,,,2,1.030760407447815,1.0477250814437866
lecun_norm,ac,20,16,3,,,3,2.043179512023926,1.044559359550476
lecun_norm,ac,20,16,3,,,4,1.3516689538955688,0.9822893142700196
lecun_norm,ac,20,16,3,,,5,1.3359733819961548,1.184459567070007
lecun_norm,ac,20,32,3,,,1,0.5534105896949768,1.1085768938064575
lecun_norm,ac,20,32,3,,,2,1.0992131233215332,1.184670090675354
lecun_norm,ac,20,32,3,,,3,0.5864815711975098,1.1374149322509766
lecun_norm,ac,20,32,3,,,4,0.4337822198867798,0.9986677169799804
lecun_norm,ac,20,32,3,,,5,0.9652389883995056,1.1402390003204346
lecun_norm,ac,20,64,3,,,1,0.8143187165260315,1.1106188297271729
lecun_norm,ac,20,64,3,,,2,0.8674554824829102,1.1485326290130615
lecun_norm,ac,20,64,3,,,3,0.7102009654045105,1.1593507528305054
lecun_norm,ac,20,64,3,,,4,0.8223189115524292,1.1564724445343018
lecun_norm,ac,20,64,3,,,5,0.7279348373413086,1.0832419395446775
lecun_norm,ac,20,2,4,,,1,1.316037893295288,0.9329774379730223
lecun_norm,ac,20,2,4,,,2,0.0142026795074343,0.5289990901947021
lecun_norm,ac,20,2,4,,,3,0.0242687091231346,0.8222433924674988
lecun_norm,ac,20,2,4,,,4,0.125283733010292,0.7628012895584106
lecun_norm,ac,20,2,4,,,5,0.0949074029922485,0.8705594539642334
lecun_norm,ac,20,4,4,,,1,0.0851273834705352,1.124436855316162
lecun_norm,ac,20,4,4,,,2,0.5187283754348755,0.8310196995735168
lecun_norm,ac,20,4,4,,,3,0.350880891084671,0.7760518789291382
lecun_norm,ac,20,4,4,,,4,0.0601365678012371,0.7667584419250488
lecun_norm,ac,20,4,4,,,5,0.7928921580314636,0.9405394196510316
lecun_norm,ac,20,8,4,,,1,3.381230354309082,0.9759026169776917
lecun_norm,ac,20,8,4,,,2,2.914602518081665,1.3452450037002563
lecun_norm,ac,20,8,4,,,3,16.905765533447266,1.3986008167266846
lecun_norm,ac,20,8,4,,,4,12.504663467407228,1.282552719116211
lecun_norm,ac,20,8,4,,,5,16.779335021972656,1.3792976140975952
lecun_norm,ac,20,16,4,,,1,3.601913928985596,1.1301586627960205
lecun_norm,ac,20,16,4,,,2,6.907710552215576,1.099195957183838
lecun_norm,ac,20,16,4,,,3,6.284451007843018,1.0980056524276731
lecun_norm,ac,20,16,4,,,4,6.252538681030273,1.0805882215499878
lecun_norm,ac,20,16,4,,,5,5.699635982513428,1.1114505529403689
lecun_norm,ac,20,32,4,,,1,10.28379249572754,1.0955215692520142
lecun_norm,ac,20,32,4,,,2,9.010485649108888,1.0855704545974731
lecun_norm,ac,20,32,4,,,3,10.791725158691406,1.1118977069854736
lecun_norm,ac,20,32,4,,,4,10.66644287109375,1.0719398260116575
lecun_norm,ac,20,32,4,,,5,12.748632431030272,1.0987778902053833
lecun_norm,ac,20,64,4,,,1,157.1139373779297,1.1115950345993042
lecun_norm,ac,20,64,4,,,2,294.4803771972656,0.9737440943717957
lecun_norm,ac,20,64,4,,,3,98.3016357421875,1.103114128112793
lecun_norm,ac,20,64,4,,,4,121.30104064941406,1.1390807628631592
lecun_norm,ac,20,64,4,,,5,19.760913848876957,1.1345717906951904
lecun_norm,burgers,5,2,1,,,1,2.1521310806274414,0.4749069809913635
lecun_norm,burgers,5,2,1,,,2,2.182471513748169,0.4872364997863769
lecun_norm,burgers,5,2,1,,,3,2.158372402191162,0.4198934137821197
lecun_norm,burgers,5,2,1,,,4,2.646986722946167,0.4912644624710083
lecun_norm,burgers,5,2,1,,,5,2.082091808319092,0.4799273908138275
